Screen Name,Date,Tweet Text,Compound Score,Postive Score,Neutral Score,Negative Score,Tweet Number
BBC,Wed Nov 06 18:01:07 +0000 2019,"‘I still got pregnant even though I took the morning-after pill.'
👉 https://t.co/eXSceee6Jy https://t.co/7YUtmM9198",0.0,0.0,1.0,0.0,1
BBC,Wed Nov 06 16:09:05 +0000 2019,"RT @BBCCiN: The Annual Duck Race Sweepstake for #ChildrenInNeed is back!🦆

That's right! It's time to pick your duck and download your free…",0.0,0.0,1.0,0.0,2
BBC,Wed Nov 06 15:59:00 +0000 2019,"Here are some top tips on how to avoid being scammed by online romance fraudsters.

@msm4rsh and @AshleyJBaptiste i… https://t.co/CY5nYPIEG1",-0.052,0.2,0.593,0.207,3
BBC,Wed Nov 06 14:01:04 +0000 2019,"Obsessed with #HisDarkMaterials on @BBCOne? There's a podcast for you... ✨
Listen on @BBCSounds for a special inter… https://t.co/DrPSoAymvv",0.511,0.242,0.676,0.082,4
BBC,Wed Nov 06 13:01:07 +0000 2019,"No, it's not a perm - and no, you can't touch it!  🙅‍♀️
https://t.co/7lt5k7G8by",-0.548,0.103,0.601,0.296,5
BBC,Wed Nov 06 11:46:28 +0000 2019,"RT @BBCiPlayer: There’s nothing funny about vampires, apparently. #WastedOnSome https://t.co/qyHRxnsgH1",-0.341,0.0,0.789,0.211,6
BBC,Wed Nov 06 09:01:01 +0000 2019,"""I can't deal with this!""  🤣

@RobBeckettComic &amp; @Grimmers completely lost it on the Overthinkers Hotline... 😂
https://t.co/UqJA4gr7z2",0.586,0.216,0.651,0.133,7
BBC,Wed Nov 06 07:01:03 +0000 2019,"""I'm not really sure where I'd be if it wasn't for my teachers."" 

Jimmy will never forget what they did for him gr… https://t.co/zU3Iis2Ra6",-0.131,0.064,0.851,0.084,8
BBC,Tue Nov 05 20:01:06 +0000 2019,"Brand new #LiveAtTheApollo starts tonight, hosted by @tomallencomedy and with sets from @josierones and @KaeKurd.… https://t.co/FcSSfNxGOC",0.0,0.0,1.0,0.0,9
BBC,Tue Nov 05 19:01:07 +0000 2019,"The hunt for a chef who wants to make it to the top of the culinary world returns... 🙌🍽
#MasterChefTheProfessionals… https://t.co/valznc2Z2X",0.202,0.087,0.913,0.0,10
BBC,Tue Nov 05 16:46:58 +0000 2019,"RT @bbcbitesize: Do you have a #pug? Do you want to send them into space?...Kind of.

Share a photo of your #pug for a chance to be feature…",0.594,0.21,0.79,0.0,11
BBC,Tue Nov 05 14:15:33 +0000 2019,"RT @BBCCiN: Get together for The Annual Duck Race Sweepstake 🐤🏁

Download your free sweepstake kit now 

Watch live | 1PM | Friday 15 Novem…",0.511,0.13,0.87,0.0,12
BBC,Tue Nov 05 14:01:05 +0000 2019,"Who exactly was Guy Fawkes? 🎇
#BonfireNight #GuyFawkesNight
https://t.co/38uwIjwTZ1",0.0,0.0,1.0,0.0,13
BBC,Tue Nov 05 10:08:01 +0000 2019,"This is the effect fireworks can have on a dog.
#BonfireNight #GuyFawkesNight 
https://t.co/inK5CPQ7kJ",0.0,0.0,1.0,0.0,14
BBC,Tue Nov 05 09:01:02 +0000 2019,"What's the craic?

#DublinMurders stars Sarah Greene and Tom Vaughan-Lawlor are here to teach you some Irish slang.… https://t.co/8lk5aqJ69Q",0.0,0.0,1.0,0.0,15
BBC,Tue Nov 05 07:01:01 +0000 2019,"What's the real reason bears scratch their backs against trees?  🐻🌳🤔
#MeetTheBears | Streaming now on @BBCiPlayer.
https://t.co/lmuF62vdpw",-0.052,0.0,0.93,0.07,16
BBC,Mon Nov 04 18:01:07 +0000 2019,There was a tearful reunion when 92-year-old Melpomeni Dina met with two Jewish siblings she helped save from the N… https://t.co/0O8sDPWykK,0.494,0.144,0.856,0.0,17
BBC,Mon Nov 04 17:01:10 +0000 2019,"Nature's answer to Jackson Pollock anyone? 💩🐧

#SevenWorldsOnePlanet
https://t.co/m0C03vdi5u",0.0,0.0,1.0,0.0,18
BBC,Mon Nov 04 13:49:49 +0000 2019,"RT @BBCCiN: 📣 Did you hear the news?! 📣

The one and only @Louis_Tomlinson will be performing on this year's #ChildrenInNeed Appeal Show! 🙌…",0.0,0.0,1.0,0.0,19
BBC,Mon Nov 04 13:49:31 +0000 2019,"RT @BBCRadio2: On Wednesday 6th November, the Zoe Ball Breakfast Show on BBC Radio 2 (6:30-9:30am GMT) will broadcast the world exclusive f…",0.128,0.067,0.933,0.0,20
BBC,Mon Nov 04 13:01:02 +0000 2019,Know your Smelly Cat from your left phalange? See if you can beat Jennifer Aniston at the Ultimate Friends Quiz…… https://t.co/VO4N6Qebf9,0.477,0.134,0.866,0.0,21
BBC,Mon Nov 04 10:42:01 +0000 2019,It’s the second year in a row that the #BTS #ARMY have won #EMABiggestFans... https://t.co/BwffPDnkJu,0.572,0.222,0.778,0.0,22
BBC,Mon Nov 04 10:35:11 +0000 2019,".@BTS_twt were the big winners of the 2019 #EMAs, being crowned best group, best live act, and the #BTS #ARMY winni… https://t.co/0R0jJbTijg",0.91,0.377,0.623,0.0,23
BBC,Mon Nov 04 09:01:05 +0000 2019,"""This thing is growing at an exponential rate!""

Who Are the #FlatEarthers? | Streaming now on @BBCiPlayer.
https://t.co/loEz4TwXjd",0.248,0.111,0.889,0.0,24
BBC,Mon Nov 04 07:01:04 +0000 2019,"After thirteen years held captive, Ivy Moxam finally makes her daring escape. 

@JodieComer stars in #Thirteen |… https://t.co/bJ6eRK4ts3",0.494,0.208,0.792,0.0,25
